,0
1562,HNRNPA1P48
1563,EFCAB14
1564,TAP2
1565,ING2
1566,ATP8B2
1567,CUL1
1568,HIPK3
1569,CDC42EP3
1570,ATMIN
1571,ZNF622
1572,TERF1
1573,FAM160B1
1574,RPUSD4
1575,ACSL1
1576,FOXN2
1577,ARRB2
1578,BRAP
1579,AMFR
1580,CSGALNACT2
1581,HIGD1A
1582,UBAP2
1583,POU2F1
1584,ALDH16A1
1585,RIT1
1586,REV1
1587,CD58
1588,PHF21A
1589,FGD5-AS1
1590,GMFB
1591,OGFRL1
1592,DDT
1593,CFDP1
1594,SSH1
1595,CDK13
1596,MCM6
1597,GGA1
1598,RASAL3
1599,LAMP1
1600,RPL22P1
1601,PARVG
1602,MED23
1603,LMNB1
1604,TASOR
1605,G6PD
1606,CLIP1
1607,METTL16
1608,GPATCH11
1609,PDZD8
1610,TRNAU1AP
1611,SNHG17
1612,COIL
1613,HIST1H3G
1614,TRIO
1615,C1orf131
1616,ZNF330
1617,ZNF451
1618,BIRC5
1619,LAT2
1620,ABTB1
1621,SLAIN2
1622,LYRM4
1623,KIF20B
1624,RPS6KA1
1625,CWC27
1626,LPGAT1
1627,CUL2
1628,RBM38
1629,PUM3
1630,CHMP2B
1631,KCNN4
1632,ZNF281
1633,MICAL1
1634,MCM7
1635,RNF8
1636,MED1
1637,DAAM1
1638,ATP2C1
1639,SNX11
1640,AC008755.1
1641,ARFRP1
1642,UIMC1
1643,C15orf40
1644,SIK3
1645,REPIN1
1646,IVD
1647,SLC2A6
1648,SCAMP4
1649,PYROXD1
1650,SGK1
1651,LSG1
1652,DTD1
1653,THUMPD3
1654,SETD2
1655,AC026470.1
1656,AHCTF1
1657,PIGS
1658,OTUD6B
1659,DNAJB14
1660,AP001324.1
1661,AC016876.2
1662,SRGAP2
1663,ARID3B
1664,KTI12
1665,TAF1B
1666,UBA3
1667,MAP4K1
1668,NCBP3
1669,PICALM
1670,AQR
1671,TRIM52
1672,CDCA7L
1673,FAM111B
1674,ANKRD49
1675,ANAPC4
1676,FEZ2
1677,PHF11
1678,GMNN
1679,TMEM63A
1680,SMARCD2
1681,EXOC5
1682,CCZ1
1683,KDM6A
1684,FURIN
1685,C8orf33
1686,NAMPT
1687,RFX7
1688,PNPT1
1689,PACSIN2
1690,CLECL1
1691,SVBP
1692,KCNAB2
